Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,00:51:32:13,-1907.954,727.8560000000001,1419.705
2,0.01,00:51:32:13,-1907.951,727.8760000000001,1419.704
3,0.02,00:51:32:13,-1907.942,727.872,1419.707
4,0.03,00:51:32:14,-1907.6570000000002,727.8910000000001,1419.862
5,0.04,00:51:32:14,-1907.477,728.081,1419.8370000000002
6,0.05,00:51:32:14,-1907.4370000000001,728.155,1419.852
7,0.06,00:51:32:14,-1907.435,728.1489999999999,1419.8139999999999
8,0.07,00:51:32:15,-1907.425,728.177,1419.8270000000002
9,0.08,00:51:32:15,-1907.398,728.225,1419.8310000000001
10,0.09,00:51:32:15,-1907.4,728.2610000000001,1419.8110000000001
11,0.1,00:51:32:15,-1907.399,728.2660000000001,1419.8229999999999
12,0.11,00:51:32:16,-1907.381,728.323,1419.8129999999999
13,0.12,00:51:32:16,-1907.39,728.36,1419.816
14,0.13,00:51:32:16,-1907.37,728.4010000000001,1419.8220000000001
15,0.14,00:51:32:16,-1907.359,728.426,1419.807
16,0.15,00:51:32:17,-1907.328,728.493,1419.817
17,0.16,00:51:32:17,-1907.32,728.5369999999999,1419.819
18,0.17,00:51:32:17,-1907.29,728.571,1419.808
19,0.18,00:51:32:17,-1907.281,728.6110000000001,1419.807
20,0.19,00:51:32:18,-1907.271,728.6360000000001,1419.817
21,0.2,00:51:32:18,-1907.2420000000002,728.671,1419.8110000000001
22,0.21,00:51:32:18,-1907.2320000000002,728.67,1419.799
23,0.22,00:51:32:18,-1907.2120000000002,728.7130000000001,1419.7979999999998
24,0.23,00:51:32:19,-1907.18,728.7139999999999,1419.795
25,0.24,00:51:32:19,-1907.161,728.762,1419.7939999999999
26,0.25,00:51:32:19,-1907.1529999999998,728.758,1419.787
27,0.26,00:51:32:19,-1907.122,728.835,1419.775
28,0.27,00:51:32:20,-1907.129,728.818,1419.797
29,0.28,00:51:32:20,-1907.1,728.888,1419.783
30,0.29,00:51:32:20,-1907.078,728.925,1419.8
31,0.3,00:51:32:20,-1907.058,728.962,1419.839
32,0.31,00:51:32:21,-1907.0639999999999,729.0210000000001,1419.852
33,0.32,00:51:32:21,-1907.0439999999999,729.049,1419.88
34,0.33,00:51:32:21,-1907.0410000000002,729.053,1419.9160000000002
35,0.34,00:51:32:21,-1907.013,729.1210000000001,1419.908
36,0.35,00:51:32:22,-1907.033,729.177,1419.9129999999998
37,0.36,00:51:32:22,-1907.0120000000002,729.2489999999999,1419.8970000000002
38,0.37,00:51:32:22,-1907.026,729.29,1419.904
39,0.38,00:51:32:22,-1907.0120000000002,729.393,1419.892
40,0.39,00:51:32:23,-1907.003,729.4580000000001,1419.931
41,0.4,00:51:32:23,-1907.023,729.53,1419.933
